,Consumption (KWH)
2010-01-01,22833536.248755004
2010-01-08,26811829.180170897
2010-01-15,26656633.930411186
2010-01-22,29996266.6406629
2010-01-29,19636091.208674345
2010-02-05,21704028.720682207
2010-02-12,17205027.826016173
2010-02-19,17362519.876286127
2010-02-26,17231879.36834116
2010-03-05,16847299.166138455
2010-03-12,12402602.126844324
2010-03-19,21328671.25157826
2010-03-26,18821826.23016173
2010-04-02,19077581.22527724
2010-04-09,19737626.166609775
2010-04-16,15363830.322631713
2010-04-23,17944142.402211126
2010-04-30,19864813.182378553
2010-05-07,16166192.926168822
2010-05-14,23454590.268924553
2010-05-21,15453340.151615776
2010-05-28,25931567.79587969
2010-06-04,24798428.783579964
2010-06-11,20308444.620450664
2010-06-18,22379033.595742352
2010-06-25,24306116.89425757
2010-07-02,23489036.085042164
2010-07-09,25746999.80450724
2010-07-16,30976432.07901702
2010-07-23,40792309.653702475
2010-07-30,34809892.66965499
2010-08-06,26261804.897564963
2010-08-13,22352764.700060572
2010-08-20,26339356.318293106
2010-08-27,34688673.76819852
2010-09-03,32032153.32130048
2010-09-10,30687650.31124029
2010-09-17,29818901.280967616
2010-09-24,23954574.930420972
2010-10-01,28718717.153504726
2010-10-08,24636661.27067595
2010-10-15,23340817.047406472
2010-10-22,17824539.59799187
2010-10-29,24366926.20504393
2010-11-05,23907238.01752512
2010-11-12,24915222.254546594
2010-11-19,24936936.52288436
2010-11-26,26594062.15686229
2010-12-03,24646857.421171308
2010-12-10,26028068.37773924
2010-12-17,20676838.04422716
2010-12-24,26030961.837157257
2010-12-31,22082055.50427329
2011-01-07,21725143.205708735
2011-01-14,29702534.45286071
2011-01-21,31960411.49502786
2011-01-28,18413377.411864143
2011-02-04,30818064.89442844
2011-02-11,22837853.198679548
2011-02-18,18762486.59997805
2011-02-25,25279703.51836693
2011-03-04,14470035.527507849
2011-03-11,15783890.999157054
2011-03-18,16634460.354990114
2011-03-25,22229684.869126454
2011-04-01,21369114.32076679
2011-04-08,30326489.41958762
2011-04-15,18396301.39051914
2011-04-22,16214961.329214592
2011-04-29,17665643.084743906
2011-05-06,20484542.257207848
2011-05-13,15463950.88991821
2011-05-20,14734004.438915456
2011-05-27,16972343.950398583
2011-06-03,14315064.05664829
2011-06-10,20811168.68276915
2011-06-17,18063930.567752153
2011-06-24,15723586.742431825
2011-07-01,25226947.5949462
2011-07-08,21472626.2316863
2011-07-15,19951069.23990643
2011-07-22,23034134.356934812
2011-07-29,20116324.57652625
2011-08-05,29835646.981002953
2011-08-12,27455559.42662279
2011-08-19,29178111.756939664
2011-08-26,25373094.57384072
2011-09-02,45521139.26159386
2011-09-09,34959953.14540463
2011-09-16,32419406.993228313
2011-09-23,35962924.44666893
2011-09-30,39088207.41469812
2011-10-07,17233442.5228199
2011-10-14,29872396.77796025
2011-10-21,25053793.888553433
2011-10-28,25008994.730103515
2011-11-04,28192897.080562916
2011-11-11,23554299.89536072
2011-11-18,23479057.22769751
2011-11-25,23814595.906314675
2011-12-02,28410125.97062711
2011-12-09,17011737.162100133
2011-12-16,16986749.888154604
2011-12-23,17962585.17329091
2011-12-30,21567875.470339283
2012-01-06,14299627.306115083
2012-01-13,19023305.587234315
2012-01-20,15770601.493900882
2012-01-27,22400982.393423438
2012-02-03,21279741.992036954
2012-02-10,21391894.5334044
2012-02-17,17141556.566020325
2012-02-24,20909560.440354507
2012-03-02,19783992.982901156
2012-03-09,23475728.600036584
